company_id,year,free_cash_flow,cfo_pat_ratio,cfo_quality,capex_intensity_pct,capex_type,fcf_conversion_pct,capital_allocation,distress_flag
ABB,Mar 2018,-62.0,0.38,Accrual Risk,6.52,Moderate,-11.81,Reinvestor,True
ABB,Mar 2014,0.0,0.0,Accrual Risk,0.0,Asset Light,0.0,Pre-Revenue,True
ABB,Mar 2015,-1899.0,-0.15,Accrual Risk,81.43,Capital Intensive,-608.65,Growth Funded by Debt,True
ABB,Mar 2018,-994.0,5.48,High Quality,96.79,Capital Intensive,-189.33,Mixed,True
ABB,Mar 2019,-459.0,5.76,High Quality,82.9,Capital Intensive,-75.87,Mixed,True
ABB,Mar 2020,-206.0,9.17,High Quality,137.87,Capital Intensive,-27.21,Mixed,True
ABB,Mar 2021,-225.0,5.48,High Quality,93.02,Capital Intensive,-24.4,Reinvestor,True
ABB,Mar 2023,-922.0,3.98,High Quality,87.85,Capital Intensive,-76.45,Mixed,True
ADANIENSOL,Mar 2015,-1899.0,5.0,High Quality,1422.9,Capital Intensive,-1880.2,Growth Funded by Debt,True
ADANIENSOL,Mar 2018,-994.0,1.92,High Quality,80.93,Capital Intensive,-35.17,Mixed,True
ADANIENSOL,Mar 2019,-459.0,4.64,High Quality,41.75,Capital Intensive,-16.52,Mixed,True
ADANIENSOL,Mar 2020,-206.0,7.7,High Quality,49.43,Capital Intensive,-4.84,Mixed,True
ADANIENSOL,Mar 2021,-225.0,2.93,High Quality,40.39,Capital Intensive,-5.7,Reinvestor,True
ADANIENSOL,Mar 2023,-922.0,2.95,High Quality,35.35,Capital Intensive,-20.41,Mixed,True
ADANIENT,Mar 2013,-7124.0,6.29,High Quality,31.89,Capital Intensive,-118.32,Mixed,True
ADANIENT,Mar 2015,-2933.0,3.71,High Quality,17.78,Capital Intensive,-23.56,Mixed,True
ADANIENT,Mar 2017,-686.0,0.84,Moderate,4.0,Moderate,-36.07,Mixed,True
ADANIENT,Mar 2018,-4707.0,4.95,High Quality,21.29,Capital Intensive,-230.96,Mixed,True
ADANIENT,Mar 2021,-4568.0,3.87,High Quality,21.78,Capital Intensive,-182.28,Mixed,True
ADANIENT,Mar 2022,-15656.0,1.76,High Quality,24.55,Capital Intensive,-421.54,Mixed,True
ADANIENT,Mar 2024,-8455.0,3.09,High Quality,19.46,Capital Intensive,-74.32,Mixed,True
ADANIGREEN,Mar 2017,-1483.0,-0.6,Accrual Risk,301.0,Capital Intensive,-367.99,Mixed,True
ADANIGREEN,Mar 2018,-3779.0,-4.7,Accrual Risk,299.19,Capital Intensive,-448.28,Mixed,True
ADANIGREEN,Mar 2019,-1041.0,-3.42,Accrual Risk,129.54,Capital Intensive,-68.22,Mixed,True
ADANIGREEN,Mar 2020,-1778.0,-28.9,Accrual Risk,146.84,Capital Intensive,-122.62,Mixed,True
ADANIGREEN,Mar 2021,-7536.0,8.8,High Quality,292.48,Capital Intensive,-336.28,Mixed,True
